name,street,city,state,zip,country,latitude,longitude,phone,website,image_url,store_type,services,featured,description
Northwood Coffee Echo Park,1828 Sunset Blvd,Los Angeles,CA,90026,US,34.0760,-118.2602,+1 213-555-0302,https://example.com/echopark,https://images.unsplash.com/photo-1559496417-e7f25cb247f3?auto=format&fit=crop&w=900&q=80,cafe,"espresso,pour-over,vegan",0,Plant-based menu and pour-over bar near Echo Park Lake.
Northwood Coffee Venice,1265 Abbot Kinney Blvd,Venice,CA,90291,US,33.9956,-118.4647,+1 310-555-0303,https://example.com/venice,https://images.unsplash.com/photo-1453614512568-c4024d13c247?auto=format&fit=crop&w=900&q=80,cafe,"espresso,brunch,patio",1,Abbot Kinney corner cafe with a sunny patio and weekend brunch.
Northwood Coffee Santa Monica,1517 Lincoln Blvd,Santa Monica,CA,90401,US,34.0166,-118.4890,+1 310-555-0304,https://example.com/santamonica,https://images.unsplash.com/photo-1521017432531-fbd92d768814?auto=format&fit=crop&w=900&q=80,cafe,"espresso,pastries,parking",0,Lincoln Boulevard cafe with parking and a pastry case.
Northwood Coffee Pasadena,82 N Raymond Ave,Pasadena,CA,91103,US,34.1483,-118.1502,+1 626-555-0305,https://example.com/pasadena,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=900&q=80,cafe,"espresso,pastries,wifi",0,Old Pasadena cafe in a renovated bank lobby.
Northwood Roastery Oakland,2295 Broadway,Oakland,CA,94612,US,37.8123,-122.2680,+1 510-555-0306,https://example.com/oakland,https://images.unsplash.com/photo-1505252585461-04db1eb84625?auto=format&fit=crop&w=900&q=80,roastery,"espresso,beans,classes",1,Roastery with a classroom space and bean retail counter.
Northwood Coffee Mission,3066 24th St,San Francisco,CA,94110,US,37.7522,-122.4111,+1 415-555-0307,https://example.com/mission,https://images.unsplash.com/photo-1559496417-e7f25cb247f3?auto=format&fit=crop&w=900&q=80,cafe,"espresso,pastries,wifi",0,Mission cafe with sidewalk seating and weekend pastry pop-ups.
Northwood Coffee Capitol Hill,1525 Melrose Ave,Seattle,WA,98122,US,47.6149,-122.3209,+1 206-555-0401,https://example.com/capitolhill,https://images.unsplash.com/photo-1453614512568-c4024d13c247?auto=format&fit=crop&w=900&q=80,cafe,"espresso,pastries,wifi",0,Pike Pine corridor cafe with all-day work seating.
Northwood Coffee Ballard,5404 22nd Ave NW,Seattle,WA,98107,US,47.6685,-122.3849,+1 206-555-0402,https://example.com/ballard,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=900&q=80,cafe,"espresso,pour-over,vegan",0,Ballard neighborhood cafe with a plant-based pastry case.
Northwood Coffee Portland Pearl,1101 NW Glisan St,Portland,OR,97209,US,45.5263,-122.6826,+1 503-555-0501,https://example.com/pearl,https://images.unsplash.com/photo-1521017432531-fbd92d768814?auto=format&fit=crop&w=900&q=80,cafe,"espresso,pour-over,wifi",1,Pearl District cafe with a pour-over bar and Saturday cuppings.
Northwood Coffee Portland Division,3327 SE Division St,Portland,OR,97202,US,45.5046,-122.6310,+1 503-555-0502,https://example.com/division,https://images.unsplash.com/photo-1559496417-e7f25cb247f3?auto=format&fit=crop&w=900&q=80,cafe,"espresso,pastries,patio",0,Southeast Portland cafe with a sunny patio and pastry case.
Northwood Coffee Fitzrovia,21 Charlotte St,London,,W1T 1RG,GB,51.5189,-0.1379,+44 20 7555 0601,https://example.com/fitzrovia,https://images.unsplash.com/photo-1453614512568-c4024d13c247?auto=format&fit=crop&w=900&q=80,cafe,"espresso,pastries,wifi",0,Fitzrovia cafe with a long espresso bar and pastry counter.
Northwood Coffee Shoreditch,12 Redchurch St,London,,E2 7DP,GB,51.5237,-0.0741,+44 20 7555 0602,https://example.com/shoreditch,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=900&q=80,cafe,"espresso,pour-over,wifi",1,Shoreditch flagship with rotating guest roasters.
Northwood Roastery Berlin,Torstraße 96,Berlin,,10119,DE,52.5295,13.4035,+49 30 5550 0701,https://example.com/berlin-mitte,https://images.unsplash.com/photo-1505252585461-04db1eb84625?auto=format&fit=crop&w=900&q=80,roastery,"espresso,beans,classes",1,Mitte roastery with a tasting room and brewing classes.
Northwood Coffee Berlin Kreuzberg,Bergmannstraße 86,Berlin,,10961,DE,52.4889,13.3935,+49 30 5550 0702,https://example.com/kreuzberg,https://images.unsplash.com/photo-1559496417-e7f25cb247f3?auto=format&fit=crop&w=900&q=80,cafe,"espresso,vegan,patio",0,Kreuzberg cafe with a vegan pastry case and a back patio.
Northwood Coffee Amsterdam,Spuistraat 269,Amsterdam,,1012 VR,NL,52.3712,4.8898,+31 20 555 0801,https://example.com/amsterdam,https://images.unsplash.com/photo-1521017432531-fbd92d768814?auto=format&fit=crop&w=900&q=80,cafe,"espresso,pastries,wifi",0,Centrum cafe with all-day work seating along the canal.
Northwood Coffee Stockholm,Sankt Eriksplan 4,Stockholm,,113 20,SE,59.3438,18.0413,+46 8 555 0901,https://example.com/stockholm,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=900&q=80,cafe,"espresso,pastries,wifi",0,Vasastan cafe with seasonal pastries and quiet study seating.
Northwood Coffee Sydney CBD,401 Sussex St,Sydney,NSW,2000,AU,-33.8767,151.2017,+61 2 5550 1001,https://example.com/sydney-cbd,https://images.unsplash.com/photo-1453614512568-c4024d13c247?auto=format&fit=crop&w=900&q=80,cafe,"espresso,brunch,wifi",0,Sydney CBD cafe with all-day brunch and an espresso bar.
Northwood Coffee Surry Hills,491 Crown St,Surry Hills,NSW,2010,AU,-33.8896,151.2126,+61 2 5550 1002,https://example.com/surryhills,https://images.unsplash.com/photo-1521017432531-fbd92d768814?auto=format&fit=crop&w=900&q=80,cafe,"espresso,brunch,patio",1,Crown Street cafe with a sunny patio and weekend brunch.
Northwood Coffee Melbourne CBD,210 Russell St,Melbourne,VIC,3000,AU,-37.8118,144.9669,+61 3 5550 1003,https://example.com/melbourne-cbd,https://images.unsplash.com/photo-1559496417-e7f25cb247f3?auto=format&fit=crop&w=900&q=80,cafe,"espresso,pour-over,wifi",0,Russell Street cafe with a pour-over bar and rotating roasters.
Northwood Coffee Fitzroy,395 Brunswick St,Fitzroy,VIC,3065,AU,-37.7919,144.9784,+61 3 5550 1004,https://example.com/fitzroy,https://images.unsplash.com/photo-1505252585461-04db1eb84625?auto=format&fit=crop&w=900&q=80,cafe,"espresso,vegan,patio",0,Fitzroy cafe with a vegan menu and a back patio.
